siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement,site_web,statut_recherche,source_site_web,site_verifie,verification_raison,nb_pages,profondeur_max,has_sitemap,has_blog,blog_url,has_rss,blog_status,derniere_maj_blog,frequence_publication,derniere_date,activite_status,pages_sans_title,pages_title_court,titles_dupliques,pages_sans_meta_desc,pages_sans_h1,pages_h1_multiple,pages_sans_canonical,has_robots_txt,pages_noindex,mots_moyen_par_page,pages_vides,ratio_texte_html,cms_detecte,audit_erreur
502300213,35,50230021300035,O,2010-07-01,12,2023,2651AZ,2025-12-05T19:45:27.965,True,A,O,,2008-01-28,5710,C3 TECHNOLOGIES,,,,,,,,,,,3012Z,NAFRev2,,N,,12,2023,35,2025-12-06T07:32:43.855,PME,2023,,,,,RUE,HENRI BECQUEREL,17180,PERIGNY,,17274,,,172741110_C,,,A,,,,,30.12Z,NAFRev2,O,30.12Y,http://www.c3technologies.fr/,TROUVÉ,DDG Rank 1,True,Mot-clé 'technologies' trouvé dans le domaine,10.0,1.0,False,True,http://www.c3technologies.fr/actualites,True,présent,,,2020-11-04,abandonné,0.0,0.0,0.1,1.0,1.0,0.0,0.0,True,0.0,750.0,0.0,0.1,WordPress,
507978369,27,50797836900027,O,2008-10-01,12,2023,,2025-12-06T03:08:23.958,True,A,O,,2008-10-01,5710,SURVITEC SAS,,,,,,,,,,,3012Z,NAFRev2,,N,,12,2023,27,2025-12-06T06:30:27.37,PME,2023,,,,,ROUTE,DE CHATENET,17210,CHEVANCEAUX,,17104,,,17104vgt778_B,445785.7580110542,6472184.984091145,A,,,,,30.12Z,NAFRev2,O,30.12Y,https://survitecgroup.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'survitec' trouvé dans le domaine,10.0,1.0,True,True,https://survitecgroup.com/media/news/survitec-appoints-robert-steen-kledal-as-ceo,False,présent,,,,inconnu,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,0.0,975.0,0.0,0.03,,
511791410,26,51179141000026,O,2009-06-18,31,2023,,2025-12-06T03:15:34.137,True,A,O,,2009-04-14,5710,CHANTIER NAVAL COUACH - CNC,,,,,,,,,,,3012Z,NAFRev2,,N,,31,2023,26,2025-12-06T05:26:29.296,ETI,2023,,10.0,,,RUE,DE L'YSER,33470,GUJAN-MESTRAS,,33199,,,331990850_B,377275.9077270757,6401791.0138011845,A,,,,,30.12Z,NAFRev2,O,30.13Y,https://couach.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'couach' trouvé dans le domaine,10.0,1.0,False,True,https://couach.com/en/news-yachts,False,présent,,,2026-01-26,semi-actif,0.0,0.0,0.1,7.0,9.0,0.0,0.0,True,0.0,274.0,3.0,0.01,WordPress,
514815844,30,51481584400030,O,2015-01-01,22,2023,3012ZZ,2025-12-05T16:57:59.608,True,A,O,,2009-08-01,5710,NEEL TRIMARANS,,,,,,,,,,,3012Z,NAFRev2,,N,,22,2023,30,2025-12-06T07:55:23.015,PME,2023,,4.0,,,RUE,VIRGINIE HERIOT,17000,LA ROCHELLE,,17300,,,173008381_B,379726.8580185253,6569310.23756567,A,,,,,30.12Z,NAFRev2,O,30.12Y,https://www.neel-trimarans.fr/,TROUVÉ,DDG Rank 3,False,Mot-clé 'neel' trouvé dans le domaine,0.0,0.0,False,False,,False,absent,,,,inconnu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,,Aucune page accessible
790924682,20,79092468200020,O,2016-04-18,11,2023,,2025-12-06T00:54:00.867,True,A,O,,2013-01-15,5499,NAVITEAM,PYP ATLANTIC,,,,,,,,,,3315Z,NAFRev2,,N,,11,2023,20,2025-12-06T06:26:08.492,PME,2023,,179.0,,,QUAI,DE BRAZZA,33100,BORDEAUX,,33063,,,330631230_B,420055.8757765877,6424004.359615202,A,,,,,33.15Z,NAFRev2,O,33.15Y,https://naviteam.eu/,TROUVÉ,DDG Rank 2,True,Mot-clé 'naviteam' trouvé dans le domaine,10.0,1.0,False,True,https://naviteam.eu/en/news/page/2,True,abandonné,2019-06-25,mensuelle,2019-06-25,abandonné,0.0,0.0,0.1,0.0,0.0,0.0,0.0,True,0.0,401.0,0.0,0.03,WordPress,
389002593,25,38900259300025,O,1992-04-01,11,2023,3109AZ,2025-12-06T01:17:55.934,True,A,O,,1992-04-01,5710,ATLANTIQUE SELLERIE CHRISTIAN COSTES,,,,,,,,,,,3012Z,NAFRev2,,O,,11,2023,25,2025-12-06T06:09:29.007,PME,2023,,6.0,,,RUE,MICHEL BARILLAUD,17340,CHATELAILLON-PLAGE,,17094,,,170940720_B,383974.4630676978,6560122.247926469,A,,,,,30.12Z,NAFRev2,O,30.12Y,http://atlantiquesellerie.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'atlantique' trouvé dans le domaine,10.0,1.0,False,False,,True,absent,,,,inconnu,0.0,0.0,0.0,2.0,6.0,0.0,0.0,True,0.0,331.0,0.0,0.07,WordPress,
335184461,36,33518446100036,O,1987-01-01,11,2023,3012ZZ,2025-12-05T17:06:31.839,True,A,O,,1986-03-24,5710,B2 MARINE,,,,,,,,,,,3012Z,NAFRev2,,N,,11,2023,36,2025-12-06T07:32:42.681,PME,2023,PARC D ACTIVITES,,,,,DES AUGUSTINS,33360,LATRESNE,,33234,,,,,,A,,,,,30.12Z,NAFRev2,O,30.12Y,https://www.b2marine.fr/,TROUVÉ,DDG Rank 1,True,Mot-clé 'marine' trouvé dans le domaine,10.0,1.0,True,True,https://www.b2marine.fr/fr/presse,False,présent,,,,inconnu,0.0,0.0,0.0,4.0,5.0,4.0,10.0,True,0.0,327.0,1.0,0.05,,
950596429,15,95059642900015,O,1989-09-01,32,2023,,2025-12-05T20:43:23.422,True,A,O,,1989-09-01,5710,DUFOUR YACHTS,,,,,,,,,,,3012Z,NAFRev2,,N,,32,2023,15,2025-12-06T05:43:29.565,ETI,2023,ZONE INDUSTRIELLE,1.0,,,RUE,BLAISE PASCAL,17180,PERIGNY,,17274,,,172740036_B,382766.1608216231,6570754.817921517,A,,,,,30.12Z,NAFRev2,O,30.12Y,http://dufour-yachts.fr/,TROUVÉ,DDG Rank 3,False,Mot-clé 'dufour' trouvé dans le domaine,1.0,0.0,False,False,,False,absent,,,,inconnu,1.0,0.0,0.0,1.0,1.0,0.0,1.0,False,0.0,0.0,1.0,0.0,,
300685609,12,30068560900012,O,1973-01-01,21,2023,,2025-12-06T03:50:31.399,True,A,O,,1973-01-01,5710,ROTOMOD,RTM,,,,,,,,,,3012Z,NAFRev2,,N,,21,2023,12,2025-12-06T05:18:59.845,PME,2023,ZI JEAN MALEZES,,,,,ZONE INDUST JEAN MALEZE,47240,BON-ENCONTRE,,47032,,,,,,A,,,,,30.12Z,NAFRev2,O,30.12Y,https://www.rotomod-design.com/,TROUVÉ,DDG Rank 3,True,Mot-clé 'rotomod' trouvé dans le domaine,10.0,1.0,False,False,,False,absent,,,2025-10-14,semi-actif,0.0,0.0,0.0,1.0,3.0,4.0,0.0,True,1.0,491.0,0.0,0.02,WordPress,
304516420,94,30451642000094,O,2019-11-29,12,2023,,2025-12-06T04:48:35.735,True,A,O,,1975-01-01,5710,DRAGAGE TRANSPORTS ET TRAVAUX MARITIMES,DTM,,,,,,,,,,5020Z,NAFRev2,,N,,12,2023,94,2025-12-06T10:49:28.661,GE,2023,QUAI NORD HANGAR N1,,,,,PORT LA ROCHELLE PALLICE,17000,LA ROCHELLE,,17300,,,17300B076_C,,,A,,,,,50.20Z,NAFRev2,N,50.20Y,,NON TROUVÉ,,False,URL manquante,,,,,,,,,,,,,,,,,,,,,,,,,
307309898,20,30730989800020,O,1900-01-01,32,2023,,2025-12-05T17:06:48.615,True,A,O,,1900-01-01,5599,FOUNTAINE PAJOT,,,,,,,,,,,3012Z,NAFRev2,,N,,41,2023,20,2025-12-06T06:55:36.807,ETI,2023,ZONE INDUSTRIELLE,,,,,,17290,AIGREFEUILLE D'AUNIS,,17003,,,,,,A,FOUNTAINE PAJOT MOTOR YACHTS,,,FOUNTAINE PAJOT MOTOR YACHTS,30.12Z,NAFRev2,O,30.12Y,https://www.fountaine-pajot.com/,TROUVÉ,DDG Rank 4,True,Mot-clé 'fountaine' trouvé dans le domaine,10.0,1.0,False,True,https://www.fountaine-pajot.com/newsroom,False,semi-actif,2024-10-03,rare,2024-10-03,semi-actif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1433.0,0.0,0.08,WordPress,
310288162,12,31028816200012,O,1977-01-01,21,2023,,2025-12-06T04:55:02.212,True,A,O,,1977-01-01,5710,SOCIETE D'ARMEMENT ET DE TRANSPORT,SOCATRA,,,,,,,,,,5020Z,NAFRev2,,N,,21,2023,12,2025-12-06T05:14:33.418,ETI,2023,,9.0,,,ALLEE,DE TOURNY,33000,BORDEAUX,,33063,,,330639030_B,417563.7640600657,6422491.08242649,A,,,,,50.20Z,NAFRev2,O,50.20Y,,NON TROUVÉ,,False,URL manquante,,,,,,,,,,,,,,,,,,,,,,,,,
313781650,12,31378165000012,O,1900-01-01,22,2023,,2025-12-06T00:05:56.161,True,A,O,,1978-01-01,5599,SA CHANTIERS AMEL,,,,,,,,,,,3315Z,NAFRev2,,N,,22,2023,12,2025-12-06T05:23:00.622,PME,2023,,8.0,,,RUE,JOSEPH CUGNOT,17180,PERIGNY,,17274,,,172740157_B,383285.7018556158,6570089.346444309,A,,,,,30.12Z,NAFRev2,O,30.12Y,https://amel.fr/,TROUVÉ,DDG Rank 2,True,Mot-clé 'amel' trouvé dans le domaine,10.0,1.0,False,True,https://amel.fr/newsletter,True,présent,,,2026-02-10,semi-actif,0.0,6.0,0.1,8.0,7.0,2.0,0.0,True,0.0,814.0,0.0,0.03,WordPress,
921329926,15,92132992600015,O,2022-11-14,2,2023,,2025-12-06T00:09:16.297,True,A,O,,2022-11-14,5599,SPL D EXPLOITATION DU PORT DEPARTEMENTAL DE SAINT-JEAN-DE-LUZ-CIBOURE,,,,,,,,,,,5222Z,NAFRev2,,N,,12,2023,15,2025-12-06T06:18:26.6,PME,2023,,2.0,,,PLACE,DES RECOLLETS,64500,CIBOURE,,64189,,,641890698_B,321969.5207231689,6265158.35248357,A,,,,,52.22Z,NAFRev2,O,52.22Y,https://www.port-saintjeandeluz-ciboure.com/,TROUVÉ,DDG Rank 1,True,Mot-clé 'port' trouvé dans le domaine,10.0,1.0,False,True,https://www.port-saintjeandeluz-ciboure.com/actualites,True,actif,2026-02-13,trimestrielle,2026-02-13,actif,0.0,0.0,0.0,2.0,4.0,0.0,0.0,True,0.0,193.0,1.0,0.03,WordPress,
